Provincia;codprov_censo;quinquenio;cantidad22;varones22;mujeres22;cantidad40;varones40;mujeres40;variacion;var_mujeres;var_varones
86-SANTIAGO DEL ESTERO;86;20-24;91585;46823;44762;83663;43356;40307;0,913501119;0,900473616;0,925955193
86-SANTIAGO DEL ESTERO;86;25-29;86738;43828;42910;77706;40053;37653;0,895870322;0,877487765;0,913867847
86-SANTIAGO DEL ESTERO;86;30-34;70690;34736;35954;74216;37852;36364;1,049879757;1,01140346;1,089705205
86-SANTIAGO DEL ESTERO;86;35-39;62772;30195;32577;80164;40212;39952;1,277066208;1,226386715;1,331743666
86-SANTIAGO DEL ESTERO;86;40-44;63671;30782;32889;85698;42824;42874;1,345950276;1,303596947;1,391202651
86-SANTIAGO DEL ESTERO;86;45-49;57052;27952;29100;77838;38354;39484;1,364334292;1,356838488;1,372137951
86-SANTIAGO DEL ESTERO;86;50-54;45662;22723;22939;62580;30064;32516;1,370505015;1,417498583;1,323064736
86-SANTIAGO DEL ESTERO;86;55-59;39180;19519;19661;59205;28128;31077;1,511102603;1,58064188;1,441057431
86-SANTIAGO DEL ESTERO;86;60-64;35586;17414;18172;56778;26951;29827;1,59551509;1,641371341;1,5476628
86-SANTIAGO DEL ESTERO;86;65-69;31296;15134;16162;45221;21429;23792;1,444945041;1,472095038;1,415950839
86-SANTIAGO DEL ESTERO;86;70-74;24692;11626;13066;34049;15956;18093;1,378948647;1,384739017;1,37244108
86-SANTIAGO DEL ESTERO;86;75-79;17374;7682;9692;26909;12021;14888;1,548808565;1,536112258;1,564826868
86-SANTIAGO DEL ESTERO;86;80-84;11191;4496;6695;20006;8314;11692;1,787686534;1,746377894;1,849199288
86-SANTIAGO DEL ESTERO;86;85-89;6143;2159;3984;12560;4822;7738;2,044603614;1,942269076;2,233441408
86-SANTIAGO DEL ESTERO;86;90-94;2720;811;1909;6044;2035;4009;2,222058824;2,100052383;2,509247842
86-SANTIAGO DEL ESTERO;86;95-99;865;213;652;2204;621;1583;2,547976879;2,42791411;2,915492958
86-SANTIAGO DEL ESTERO;86;100 y más;207;42;165;726;160;566;3,507246377;3,43030303;3,80952381
90-TUCUMÁN;90;0-4;149845;77134;72711;143666;73984;69682;0,958764056;0,958341929;0,959161978
90-TUCUMÁN;90;5-9;150078;77271;72807;144797;74592;70205;0,964811631;0,964261678;0,965329813
90-TUCUMÁN;90;10-14;144437;74501;69936;146311;75395;70916;1,012974515;1,014012812;1,011999839
90-TUCUMÁN;90;15-19;139839;71756;68083;148724;76480;72244;1,063537354;1,061116578;1,065834216
90-TUCUMÁN;90;20-24;144537;73292;71245;151035;77341;73694;1,044957347;1,034374342;1,055244774
90-TUCUMÁN;90;25-29;145411;72845;72566;149732;76420;73312;1,029715771;1,010280297;1,049076807
90-TUCUMÁN;90;30-34;131719;65408;66311;138874;70898;67976;1,054320182;1,025108956;1,083934687
90-TUCUMÁN;90;35-39;116573;57574;58999;137580;69621;67959;1,180204679;1,151866981;1,209243756
90-TUCUMÁN;90;40-44;115320;56698;58622;141234;70722;70512;1,22471384;1,202824878;1,247345585
90-TUCUMÁN;90;45-49;101084;49372;51712;137134;67874;69260;1,356634087;1,339340965;1,37474682
90-TUCUMÁN;90;50-54;79534;38625;40909;120066;58882;61184;1,509618528;1,495612212;1,524453074
90-TUCUMÁN;90;55-59;70383;33723;36660;108932;52954;55978;1,547703281;1,526950355;1,570263618
90-TUCUMÁN;90;60-64;66961;31397;35564;104115;49896;54219;1,554860292;1,524547295;1,58919642
90-TUCUMÁN;90;65-69;60865;28342;32523;79980;37439;42541;1,314055697;1,308028165;1,320972408
90-TUCUMÁN;90;70-74;47969;21840;26129;60774;27596;33178;1,266943234;1,269776876;1,263553114
90-TUCUMÁN;90;75-79;32020;13676;18344;49779;21290;28489;1,554622111;1,553041867;1,556741737
90-TUCUMÁN;90;80-84;19344;7444;11900;38776;15397;23379;2,004549214;1,964621849;2,068377217
90-TUCUMÁN;90;85-89;11092;3736;7356;24852;9193;15659;2,240533718;2,128738445;2,460653105
90-TUCUMÁN;90;90-94;5177;1538;3639;11854;3897;7957;2,289743094;2,186589722;2,533810143
90-TUCUMÁN;90;95-99;1598;415;1183;4057;1144;2913;2,538798498;2,46238377;2,756626506
90-TUCUMÁN;90;100 y más;332;75;257;1288;295;993;3,879518072;3,86381323;3,933333333
94-TIERRA DEL FUEGO;94;0-4;14693;7567;7126;17507;9017;8490;1,191519771;1,191411732;1,191621514
94-TIERRA DEL FUEGO;94;5-9;14543;7432;7111;17655;9040;8615;1,21398611;1,211503305;1,216361679
94-TIERRA DEL FUEGO;94;10-14;14172;7216;6956;18002;9181;8821;1,2702512;1,268113859;1,27231153
94-TIERRA DEL FUEGO;94;15-19;15175;7816;7359;18049;9289;8760;1,189390445;1,190379128;1,18845957
94-TIERRA DEL FUEGO;94;20-24;14511;7514;6997;17647;9088;8559;1,216111915;1,223238531;1,209475645
94-TIERRA DEL FUEGO;94;25-29;14437;7349;7088;18106;9254;8852;1,254138671;1,248871332;1,259218941
94-TIERRA DEL FUEGO;94;30-34;15145;7763;7382;19059;9804;9255;1,258435127;1,253725278;1,262913822
94-TIERRA DEL FUEGO;94;35-39;15307;7954;7353;20339;10540;9799;1,328738486;1,332653339;1,325119437
94-TIERRA DEL FUEGO;94;40-44;14386;7429;6957;19034;9830;9204;1,323091895;1,322984045;1,323192893
94-TIERRA DEL FUEGO;94;45-49;11981;6028;5953;18097;9230;8867;1,510474919;1,489501092;1,53118779
94-TIERRA DEL FUEGO;94;50-54;9441;4681;4760;16540;8469;8071;1,751933058;1,695588235;1,809228797
94-TIERRA DEL FUEGO;94;55-59;8576;4281;4295;15107;7684;7423;1,761543843;1,728288708;1,794907732
