Provincia;codprov_censo;quinquenio;cantidad22;varones22;mujeres22;cantidad40;varones40;mujeres40;variacion;var_mujeres;var_varones
02-CABA;02;0-4;200418;103172;97246;173804;89509;84295;0,867207536;0,866822286;0,867570659
02-CABA;02;5-9;200433;103075;97358;168990;86970;82020;0,843124635;0,842457733;0,843754548
02-CABA;02;10-14;196543;100958;95585;168595;86626;81969;0,857802109;0,857550871;0,858039977
02-CABA;02;15-19;197946;100887;97059;175486;89895;85591;0,886534711;0,881845063;0,891046418
02-CABA;02;20-24;190018;95190;94828;188789;96054;92735;0,993532192;0,97792846;1,009076584
02-CABA;02;25-29;207030;102083;104947;199383;100988;98395;0,963063324;0,937568487;0,989273434
02-CABA;02;30-34;221227;108103;113124;200528;101624;98904;0,906435471;0,874297231;0,940066418
02-CABA;02;35-39;229972;112052;117920;188850;95155;93695;0,821186927;0,794564111;0,849203941
02-CABA;02;40-44;223077;108142;114935;177742;88052;89690;0,796774208;0,780354113;0,81422574
02-CABA;02;45-49;211216;101106;110110;185489;90166;95323;0,878195781;0,86570702;0,891796728
02-CABA;02;50-54;179465;84138;95327;202600;97084;105516;1,12891093;1,106884723;1,153866267
02-CABA;02;55-59;156995;71654;85341;200896;95148;105748;1,279633109;1,239123048;1,327881207
02-CABA;02;60-64;151839;66816;85023;194614;90755;103859;1,281712867;1,221540054;1,358282447
02-CABA;02;65-69;140629;59348;81281;170427;76884;93543;1,211890862;1,150859364;1,295477522
02-CABA;02;70-74;123478;49474;74004;131599;56413;75186;1,065768801;1,01597211;1,140255488
02-CABA;02;75-79;100577;37483;63094;109922;43784;66138;1,092913887;1,048245475;1,168102873
02-CABA;02;80-84;71620;24245;47375;90168;32572;57596;1,258977939;1,215746702;1,343452258
02-CABA;02;85-89;43697;13248;30449;61378;19818;41560;1,40462732;1,364905251;1,495923913
02-CABA;02;90-94;24011;6379;17632;34858;9894;24964;1,451751281;1,415834846;1,551026807
02-CABA;02;95-99;9253;2189;7064;14441;3576;10865;1,560683022;1,538080408;1,633622659
02-CABA;02;100 y más;2106;437;1669;5145;1102;4043;2,443019943;2,422408628;2,52173913
06-BUENOS AIRES;06;0-4;1399003;720288;678715;1366275;703633;662642;0,976606197;0,976318484;0,976877305
06-BUENOS AIRES;06;5-9;1447502;744710;702792;1366674;703379;663295;0,944160353;0,943799873;0,944500544
06-BUENOS AIRES;06;10-14;1435021;739165;695856;1370099;704925;665174;0,95475885;0,955907544;0,95367746
06-BUENOS AIRES;06;15-19;1333655;684298;649357;1390595;715008;675587;1,0426947;1,040393805;1,044878109
06-BUENOS AIRES;06;20-24;1297883;661069;636814;1438480;738431;700049;1,108327946;1,09929901;1,117025605
06-BUENOS AIRES;06;25-29;1309360;661561;647799;1495570;767028;728542;1,142214517;1,124642057;1,159421429
06-BUENOS AIRES;06;30-34;1321978;663732;658246;1410669;723888;686781;1,067089619;1,043350055;1,090632966
06-BUENOS AIRES;06;35-39;1237848;617847;620001;1341518;683332;658186;1,083750186;1,06158861;1,105989023
06-BUENOS AIRES;06;40-44;1208930;598552;610378;1296897;655344;641553;1,072764345;1,051074908;1,094882316
06-BUENOS AIRES;06;45-49;1118204;549623;568581;1310887;656107;654780;1,172314712;1,151603729;1,193740073
06-BUENOS AIRES;06;50-54;954944;465046;489898;1265300;627380;637920;1,324999162;1,302148611;1,349070845
06-BUENOS AIRES;06;55-59;851718;408466;443252;1155843;565944;589899;1,357072411;1,330843403;1,385535149
06-BUENOS AIRES;06;60-64;772313;363430;408883;1104304;530163;574141;1,42986587;1,404169408;1,458776105
06-BUENOS AIRES;06;65-69;676490;308497;367993;922760;431832;490928;1,364040858;1,334068855;1,399793191
06-BUENOS AIRES;06;70-74;566071;246662;319409;736189;331195;404994;1,300524139;1,267947991;1,342707835
06-BUENOS AIRES;06;75-79;420024;171216;248808;597278;252586;344692;1,422009219;1,385373461;1,47524764
06-BUENOS AIRES;06;80-84;271217;99539;171678;441119;171611;269508;1,626443033;1,569845874;1,724057907
06-BUENOS AIRES;06;85-89;155426;49613;105813;280678;96986;183692;1,805862597;1,736005973;1,954850543
06-BUENOS AIRES;06;90-94;71662;19113;52549;144586;43359;101227;2,017610449;1,92633542;2,268560666
06-BUENOS AIRES;06;95-99;22161;4840;17321;51978;13093;38885;2,345471775;2,244962762;2,705165289
06-BUENOS AIRES;06;100 y más;4333;781;3552;15954;3214;12740;3,681975537;3,586711712;4,115236876
10-CATAMARCA;10;0-4;34207;17606;16601;29634;15261;14373;0,866313912;0,865791217;0,86680677
10-CATAMARCA;10;5-9;34013;17520;16493;30891;15924;14967;0,908211566;0,907475899;0,90890411
10-CATAMARCA;10;10-14;33093;17088;16005;32068;16543;15525;0,969026682;0,970009372;0,968106273
10-CATAMARCA;10;15-19;35009;18052;16957;32613;16867;15746;0,931560456;0,928584066;0,934356304
10-CATAMARCA;10;20-24;36415;18722;17693;31425;16362;15063;0,862968557;0,851353643;0,873945091
10-CATAMARCA;10;25-29;35134;18036;17098;29662;15477;14185;0,84425343;0,829629196;0,858117099
10-CATAMARCA;10;30-34;30130;15300;14830;28783;15012;13771;0,955293727;0,928590695;0,981176471
10-CATAMARCA;10;35-39;27435;13738;13697;32045;16524;15521;1,168033534;1,133167847;1,202795167
10-CATAMARCA;10;40-44;28663;14217;14446;34275;17478;16797;1,195792485;1,162744012;1,229373286
10-CATAMARCA;10;45-49;26514;13105;13409;32640;16530;16110;1,231047748;1,201431874;1,26135063
10-CATAMARCA;10;50-54;21762;10782;10980;27642;13775;13867;1,270195754;1,262932605;1,277592283
10-CATAMARCA;10;55-59;18765;9276;9489;26734;13127;13607;1,424673594;1,433976183;1,415157395
10-CATAMARCA;10;60-64;16829;8268;8561;26735;12910;13825;1,588626775;1,614881439;1,561441703
10-CATAMARCA;10;65-69;14727;7112;7615;21849;10420;11429;1,483601548;1,500853578;1,465129359
10-CATAMARCA;10;70-74;11659;5459;6200;16866;7865;9001;1,446607771;1,451774194;1,440740062
10-CATAMARCA;10;75-79;8173;3608;4565;13261;5947;7314;1,622537624;1,602190581;1,648281596
10-CATAMARCA;10;80-84;5107;2065;3042;9865;4167;5698;1,931662424;1,873109796;2,017917676
10-CATAMARCA;10;85-89;2907;1013;1894;6253;2419;3834;2,151014792;2,024287223;2,387956565
10-CATAMARCA;10;90-94;1376;403;973;3066;1050;2016;2,228197674;2,071942446;2,605459057
10-CATAMARCA;10;95-99;450;111;339;1116;325;791;2,48;2,333333333;2,927927928
10-CATAMARCA;10;100 y más;108;22;86;364;82;282;3,37037037;3,279069767;3,727272727
14-CÓRDOBA;14;0-4;295313;152017;143296;287778;148195;139583;0,974484699;0,9740886;0,974858075
14-CÓRDOBA;14;5-9;296821;152729;144092;289556;149067;140489;0,975523969;0,974995142;0,97602289
14-CÓRDOBA;14;10-14;283391;145898;137493;293653;151078;142575;1,036211453;1,036961882;1,035504256
14-CÓRDOBA;14;15-19;276085;140643;135442;300860;154480;146380;1,089736856;1,080757815;1,098383851
14-CÓRDOBA;14;20-24;290956;146724;144232;311267;159270;151997;1,069807806;1,053836874;1,085507483
14-CÓRDOBA;14;25-29;303099;152636;150463;315189;161175;154014;1,039887957;1,023600486;1,055943552
14-CÓRDOBA;14;30-34;291535;146236;145299;289463;147941;141522;0,992892792;0,974005327;1,011659236
14-CÓRDOBA;14;35-39;267955;133568;134387;288865;145932;142933;1,078035491;1,063592461;1,092567082
14-CÓRDOBA;14;40-44;261349;129653;131696;296324;148627;147697;1,133824885;1,121499514;1,146344473
14-CÓRDOBA;14;45-49;235894;116242;119652;297034;148487;148547;1,25918421;1,241491993;1,277395434
14-CÓRDOBA;14;50-54;197700;96022;101678;276201;136697;139504;1,39707132;1,372017546;1,423600841
14-CÓRDOBA;14;55-59;181552;87182;94370;254384;124743;129641;1,401163303;1,373752252;1,430834347
14-CÓRDOBA;14;60-64;166447;78385;88062;239971;115815;124156;1,441726195;1,409870319;1,477514831
14-CÓRDOBA;14;65-69;146805;66707;80098;195951;91897;104054;1,334770614;1,299083623;1,377621539
14-CÓRDOBA;14;70-74;126563;54914;71649;157012;70540;86472;1,240583741;1,206883557;1,28455403
14-CÓRDOBA;14;75-79;96007;39105;56902;131266;55857;75409;1,367254471;1,325243401;1,428385117
14-CÓRDOBA;14;80-84;62057;22882;39175;96432;37663;58769;1,553926229;1,500165922;1,645966262
14-CÓRDOBA;14;85-89;34766;11141;23625;62170;21547;40623;1,788241385;1,719492063;1,934027466
14-CÓRDOBA;14;90-94;15681;4151;11530;32664;9754;22910;2,083030419;1,98699046;2,34979523
14-CÓRDOBA;14;95-99;4813;1014;3799;11879;2964;8915;2,46810721;2,346670176;2,923076923
14-CÓRDOBA;14;100 y más;949;161;788;3590;705;2885;3,782929399;3,661167513;4,378881988
18-CORRIENTES;18;0-4;100134;51560;48574;86563;44582;41981;0,864471608;0,86426895;0,864662529
18-CORRIENTES;18;5-9;100340;51707;48633;88344;45542;42802;0,880446482;0,880101988;0,880770495
18-CORRIENTES;18;10-14;96120;49722;46398;90886;46915;43971;0,945547233;0,947691711;0,943546116
18-CORRIENTES;18;15-19;89443;45887;43556;93480;48163;45317;1,04513489;1,04043071;1,049600105
18-CORRIENTES;18;20-24;97360;49435;47925;93706;48102;45604;0,962469187;0,951570162;0,973035299
18-CORRIENTES;18;25-29;100026;50288;49738;89422;45825;43597;0,893987563;0,876533033;0,911251193
18-CORRIENTES;18;30-34;85338;42002;43336;79692;40886;38806;0,933839556;0,895467971;0,973429837
18-CORRIENTES;18;35-39;71713;34806;36907;78555;39763;38792;1,095408085;1,051074322;1,142417974
18-CORRIENTES;18;40-44;68613;33155;35458;90411;45400;45011;1,317694897;1,269417339;1,369325894
18-CORRIENTES;18;45-49;62282;29863;32419;89092;44179;44913;1,43046145;1,385391283;1,479389211
18-CORRIENTES;18;50-54;54048;25985;28063;73748;35642;38106;1,364490823;1,357873356;1,371637483
18-CORRIENTES;18;55-59;50622;24375;26247;64907;31172;33735;1,282189562;1,285289747;1,278851282
18-CORRIENTES;18;60-64;46085;21980;24105;60917;28681;32236;1,321840078;1,33731591;1,304868062
18-CORRIENTES;18;65-69;39495;18737;20758;50585;23296;27289;1,280795037;1,314625686;1,243315365
18-CORRIENTES;18;70-74;30875;14403;16472;41974;18955;23019;1,359481781;1,39746236;1,316045268
18-CORRIENTES;18;75-79;21378;9382;11996;35251;15275;19976;1,648938161;1,665221741;1,628117672
18-CORRIENTES;18;80-84;13459;5242;8217;25635;10414;15221;1,904673453;1,852379214;1,986646318
18-CORRIENTES;18;85-89;7504;2535;4969;15903;6018;9885;2,119269723;1,98933387;2,373964497
18-CORRIENTES;18;90-94;3390;1013;2377;7694;2611;5083;2,269616519;2,13840976;2,577492596
18-CORRIENTES;18;95-99;1103;287;816;2824;814;2010;2,560290118;2,463235294;2,836236934
18-CORRIENTES;18;100 y más;276;63;213;959;216;743;3,474637681;3,488262911;3,428571429
22-CHACO;22;0-4;111350;56755;54595;98819;50375;48444;0,887462955;0,887334005;0,887586997
22-CHACO;22;5-9;112131;57189;54942;100976;51518;49458;0,900518144;0,90018565;0,900837574
22-CHACO;22;10-14;107601;55272;52329;102980;52544;50436;0,957054302;0,96382503;0,950644087
22-CHACO;22;15-19;102325;52390;49935;104751;53388;51363;1,023708771;1,028597176;1,019049437
