ID;Nombre_Establecimiento;Población_Objetivo;Tipo_de_establecimiento;Gestión;Domicilio;Localidad;Departamento;Provincia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
26;Instituto Nuestra Señora De Monserrat;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Belgrano 1344 Montserrat Venezuela 1232;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
27;Jin D De 18 (Esc. Prim. N° 08 De 18);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Cnel. Pedro Calderon De La Barca 157 Villa Luro;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
28;Jin D De 18 (Esc. Prim. Nº 07 De 18);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Rivadavia 9799 Villa Luro;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
29;Jin D De 18 (Esc. Prim. N° 10 De 18);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Dr. Luis Belaustegui 4949 Velez Sarsfield;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
30;Jic Nº 03 De 05;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Luzuriaga 1571 Barracas;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
31;Inst Maria Bianchi De Copello;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Jose Andres Pacheco De Melo 2455 Recoleta;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
32;Colegio Sagrada Familia;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Blanco Encalada 5154 Villa Urquiza;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
33;Jic Nº 01 Republica Argentina De 18;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Cervantes 1927 Monte Castro;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
34;Instituto Dr. Herlz;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Aráoz 260 Villa Crespo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
35;Colegio Parr. Ntra Sra De La Anunciacion;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Barzana 2040 Villa Urquiza 2027;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
36;Instituto Divino Corazon;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Republica Dominicana 3586 Palermo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
37;Jic N° 04 De 18;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Lascano 4044 Monte Castro;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
38;Instituto Educacional Duayen;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ballivian 2160 Villa Ortuzar 2236;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
39;Instituto San Vicente Pallotti;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Echeverria 3920 Villa Urquiza;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
40;Centro Educativo San Francisco Javier;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Jorge Luis Borges 1883 Palermo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
41;Instituto Canto A La Vida;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Pje. Cristóbal M. Hicken 3117 Villa Lugano;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
42;Instituto Maria Auxiliadora;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Puerto De Palos 560 Boca;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
43;Instituto Monseñor Sabelli;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Victor Martinez 62 Caballito;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
44;Escuela Cristiana De La Puerta Abierta;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Santo Tome 5130 Monte Castro;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
45;Nuevos Aires;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Galvan 3256 Villa Urquiza;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
46;Jii N° 01 De 11;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. San Pedrito 341 Flores;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
47;Instituto Comunidad Filii Dei;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Villa 31 Calle 5 Entre 6 Y 8 Retiro;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
48;Colegio De Los Niños;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Charcas 3949 Palermo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
49;Instituto Español Virgen Del Pilar;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Federico Lacroze 2950 Colegiales;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
50;Inst.Santa Maria De Lujan;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;3 De Febrero 760 Palermo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
51;Instituto Santa Clara De Asis;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Manuela Pedraza 3850 Coghlan;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
52;Inst. Mater Dolorosa;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Mercedes 4734 Villa Devoto;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
