ID;Nombre_Establecimiento;Población_Objetivo;Tipo_de_establecimiento;Gestión;Domicilio;Localidad;Departamento;Provincia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2223;Jardín De Infantes Nº947;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Pilcaniyen 705 Villa Muñiz;BAHIA BLANCA;Bahía Blanca;Buenos Aires;;;;;;;;;;;;;;;;
2224;Jardín De Infantes Nº946 Tambor De Tacuari;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Parana 2035;BAHIA BLANCA;Bahía Blanca;Buenos Aires;;;;;;;;;;;;;;;;
2225;Jardín De Infantes San Gregorio;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Carlos F.Melo 948;VICENTE LOPEZ;Vicente López;Buenos Aires;;;;;;;;;;;;;;;;
2226;Instituto Carlos Pellegrini;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. 12 De Octubre 1352 Barrio San Martin;FLORENCIO VARELA;Florencio Varela;Buenos Aires;;;;;;;;;;;;;;;;
2227;Jardín De Infantes Nº938;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Gilberto Elizalde 3971 Santa Catalina;LOMAS DE ZAMORA;Lomas de Zamora;Buenos Aires;;;;;;;;;;;;;;;;
2228;Jardín De Infantes Nº930 Florencio Molina Campos;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Antartida Argentina Km 12 Quina De Peralta Ramos;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2229;Jardín De Infantes Nº933 Madre Teresa De Calcuta;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Eifell E/ La Carcova Y Morse Altos De Merlo;MERLO;Merlo;Buenos Aires;;;;;;;;;;;;;;;;
2230;Jardín De Infantes Nº916 Cacique Trujuï;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Tres Marías E/ A.Del Valle Y Azcuenaga 246;SAN MIGUEL;San Miguel;Buenos Aires;;;;;;;;;;;;;;;;
2231;Jardín De Infantes Nº905 Veronica Leticia Delamer;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;El Cardenal Y Ruta 192;ARROYO DE LA CRUZ;Exaltación de la Cruz;Buenos Aires;;;;;;;;;;;;;;;;
2232;Jardín De Infantes Nº921 Dra. Justina Acevedo Botet;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Cortina Y Espa¤A Barrio Colombini;SAN NICOLAS DE LOS ARROYOS;San Nicolás;Buenos Aires;;;;;;;;;;;;;;;;
2233;Jardín De Infantes Nº932;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Calle 28 Y419 Barrio Alfar;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2234;Jardín De Infantes Nº922 Martín Coronado;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Martín Coronado Y Pozos 579 Villa Hudson Nueva;FLORENCIO VARELA;Florencio Varela;Buenos Aires;;;;;;;;;;;;;;;;
2235;Jardín De Infantes Nº911 Ceferino Namuncura;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Jaime Harris Y Coronel Pereyra 95 Barrio Bicentenario;CARMEN DE PATAGONES;Patagones;Buenos Aires;;;;;;;;;;;;;;;;
2236;Jardín De Infantes Nº906 Hernando Arias De Saavedra Hernandarias;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Malabia Y Teofilio Rossell Hospital;BARADERO;Baradero;Buenos Aires;;;;;;;;;;;;;;;;
2237;Jardín De Infantes Nº924 Dr. Rene Favaloro;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Rio Caraguata 1423 Villa Monica Nueva;FLORENCIO VARELA;Florencio Varela;Buenos Aires;;;;;;;;;;;;;;;;
2238;Jardín De Infantes Nº943;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Victoriano Loza 102;MERLO;Merlo;Buenos Aires;;;;;;;;;;;;;;;;
2239;Jardín De Infantes Nº913 Republica Argentina;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Francisco De La Cruz 1555 Barrio Banquero;ITUZAINGO;Ituzaingó;Buenos Aires;;;;;;;;;;;;;;;;
2240;Jardín De Infantes Nº937 Doloreslola Mora;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Madariaga 271;MERLO;Merlo;Buenos Aires;;;;;;;;;;;;;;;;
2241;Jardín De Infantes Nº931 Punta De Arenas Gordas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Arana Y Goiri 2250 Punta Mogotes;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2242;Jardín De Infantes Nº918 San Martin;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Beron De Astrada 2103 Barrio P. La Gloria;SAN MIGUEL;San Miguel;Buenos Aires;;;;;;;;;;;;;;;;
2243;Colegio San Andres Del Mar;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Belgrano 3856;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2244;Jardín De Infantes Nº911 Tratado Del Pilar;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Battaglia 102;PILAR;Pilar;Buenos Aires;;;;;;;;;;;;;;;;
2245;Jardín De Infantes Nº925 Juan Carlos Marquez (H);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;El Picaflor 1241 San Antonio;LUJAN;Luján;Buenos Aires;;;;;;;;;;;;;;;;
2246;Jardín De Infantes San Jeronimo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Benito Juarez 350;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2247;Jardín De Infantes Nº908 Juanito Laguna;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta 3 Km 104.500 (Esc.Pp 7);SAN MIGUEL DEL MONTE;Monte;Buenos Aires;;;;;;;;;;;;;;;;
2248;Jardín De Infantes Nº919 Prof. Emilio Cassutti;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ameghino 838;CAMPANA;Campana;Buenos Aires;;;;;;;;;;;;;;;;
2249;Instituto Modelo Santa Catalina;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Darragueira Y 12 La Sirena;FLORENCIO VARELA;Florencio Varela;Buenos Aires;;;;;;;;;;;;;;;;
2250;Jardín De Infantes Nº911 El Pequeño De Asis;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Antártida Argentina 795 Canuelas;CANUELAS;Cañuelas;Buenos Aires;;;;;;;;;;;;;;;;
2251;Colegio Maria Reina;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;44 E/ 126 Y 127 669;BERISSO;Berisso;Buenos Aires;;;;;;;;;;;;;;;;
2252;Jardín De Infantes Nº914 Angel Vettese;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Cuartel 1°;CHACABUCO;Chacabuco;Buenos Aires;;;;;;;;;;;;;;;;
2253;Jardín De Infantes Nº918 Melvin Jones;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;94 E/Arenales Y Piran 323;CHIVILCOY;Chivilcoy;Buenos Aires;;;;;;;;;;;;;;;;
2254;Jardín De Infantes Nº906 Juan Bautista Alberdi;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Del Maestro;CARMEN DE ARECO;Carmen de Areco;Buenos Aires;;;;;;;;;;;;;;;;
2255;Jardín De Infantes Nº929 Puerto Argentino;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Artuso Y Bellinzona Barrio 2 De Abril;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2256;Jardín De Infantes Nº915 Abraham Lincoln;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Hernandez 140;LINCOLN;Lincoln;Buenos Aires;;;;;;;;;;;;;;;;
2257;Jardín De Infantes Nº913 Domingo F. Sarmiento;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Moreno Y Entre Ríos;CHACABUCO;Chacabuco;Buenos Aires;;;;;;;;;;;;;;;;
2258;Jardín De Infantes Nº919 Heroes De Malvinas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;La Cooperacion Barrio La Capilla;GENERAL RODRIGUEZ;General Rodríguez;Buenos Aires;;;;;;;;;;;;;;;;
2259;Jardín De Infantes Nº936 Horacio Quiroga;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Arroyo Toro Y Torito 1A Seccion Islas 561;TIGRE;Tigre;Buenos Aires;;;;;;;;;;;;;;;;
2260;Jardín De Infantes Nº906 Prebistero Pedro José Bay;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;12 E / 3 Y 5 176;ANTONIO CARBONI;Lobos;Buenos Aires;;;;;;;;;;;;;;;;
2261;Jardín De Infantes Nº918 Florencio Molina Campos;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Cuartel Vi Esq. Ff Cc San Martín La Tablada;MERCEDES;Mercedes;Buenos Aires;;;;;;;;;;;;;;;;
2262;Jardín De Infantes Nº931 Domingo Faustino Sarmiento;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Galeno 3465 Lago Del Bosque;MERLO;Merlo;Buenos Aires;;;;;;;;;;;;;;;;
2263;Jardín De Infantes Nº952 Graciela Beatriz Cabal;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Alte. Brown E/ San Lorenzo Y Mateu 108;QUILMES;Quilmes;Buenos Aires;;;;;;;;;;;;;;;;
2264;Jardín De Infantes Nº954 Mane Bernardo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Catamarca E/ 397 Y 398 4758 Barrio La Sarita;QUILMES;Quilmes;Buenos Aires;;;;;;;;;;;;;;;;
2265;Jardín De Infantes Nº955Pinta Tu Aldea Y Pintaras Tu Mundo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;R. Balbin 1220;QUILMES;Quilmes;Buenos Aires;;;;;;;;;;;;;;;;
2266;Jardín De Infantes Nº923 Juana Paula Manso;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Pringles 848 Barrio Las Flores;SAN NICOLAS DE LOS ARROYOS;San Nicolás;Buenos Aires;;;;;;;;;;;;;;;;
2267;Jardín De Infantes Nº926 Astul Urquiaga;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Pellegrini 1436;SAN NICOLAS DE LOS ARROYOS;San Nicolás;Buenos Aires;;;;;;;;;;;;;;;;
2268;Jardín De Infantes Nº913 Sociedad De Fomento Barrio El Tala;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;9 Bis E/ 79 Y 80;SAN CLEMENTE DEL TUYU;La Costa;Buenos Aires;;;;;;;;;;;;;;;;
2269;Jardín De Infantes Mi Amiguito Gualeguay;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Estrada 788;BAHIA BLANCA;Bahía Blanca;Buenos Aires;;;;;;;;;;;;;;;;
2270;Jardín De Infantes Cerezo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Güemes 1360/6;BAHIA BLANCA;Bahía Blanca;Buenos Aires;;;;;;;;;;;;;;;;
2271;Jardín De Infantes Abejitas Laboriosas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Fitz Roy 356;BAHIA BLANCA;Bahía Blanca;Buenos Aires;;;;;;;;;;;;;;;;
2272;Jardín De Infantes Padre Anibal Maria Di Francia;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Chiclana 979;CAMPANA;Campana;Buenos Aires;;;;;;;;;;;;;;;;
2273;Jardín De Infantes Las Cañuelas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Paraguay 728;CANUELAS;Cañuelas;Buenos Aires;;;;;;;;;;;;;;;;
2274;Jardín De Infantes Silos De Cañuelas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta 205 Km 54.5 Alejandro Petion;CANUELAS;Cañuelas;Buenos Aires;;;;;;;;;;;;;;;;
2275;Jardín De Infantes Santa Marta;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;49 837;COLON;Colón;Buenos Aires;;;;;;;;;;;;;;;;
2276;Jardín De Infantes Hijitus;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Lacunza 843;CORONEL SUAREZ;Coronel Suárez;Buenos Aires;;;;;;;;;;;;;;;;
2277;Jardín De Infantes Alfred Nobel;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avenida Libertad 5841;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2278;Jardín De Infantes Yumbel;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Balcarce 3290;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2279;Colegio Santisima Trinidad;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Gascon 544;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2280;Jardín De Infantes Gral. San Martin;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Teodoro Bronzini 1960;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2281;Jardín De Infantes San Patricio;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;21 E/ 12 Y 10 462;MERCEDES;Mercedes;Buenos Aires;;;;;;;;;;;;;;;;
2282;Jardín De Infantes Margarita;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ing. Luiggi 647;PUNTA ALTA;Coronel de Marina Leonardo Rosales;Buenos Aires;;;;;;;;;;;;;;;;
2283;Jardín De Infantes Conquista Cristiana;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Montevideo 123;BERISSO;Berisso;Buenos Aires;;;;;;;;;;;;;;;;
2284;Jardín De Infantes Pecas De Sol;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda.Republica Oriental Del Uruguay 137;BENITO JUAREZ;Benito Juárez;Buenos Aires;;;;;;;;;;;;;;;;
2285;Jardín De Infantes Mi Castillito;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Bustamante 2480;HURLINGHAM;Hurlingham;Buenos Aires;;;;;;;;;;;;;;;;
2286;Jardín De Infantes Santa Hilda;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Gaboto 1040;HURLINGHAM;Hurlingham;Buenos Aires;;;;;;;;;;;;;;;;
2287;Jardín De Infantes Del Molino;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Av. Intendente Carlos Ratti 2120;ITUZAINGO;Ituzaingó;Buenos Aires;;;;;;;;;;;;;;;;
2288;Jardín De Infantes San Marco;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Presidente Perón 1033;QUILMES;Quilmes;Buenos Aires;;;;;;;;;;;;;;;;
2289;Jardín De Infantes Sagrado Corazon De Jesus;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;San Martín 321;QUILMES;Quilmes;Buenos Aires;;;;;;;;;;;;;;;;
2290;Jardín De Infantes Federico Froedel;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Sarmiento E/N.Videla Y 9 De Julio 462;QUILMES;Quilmes;Buenos Aires;;;;;;;;;;;;;;;;
2291;Jardín De Infantes Cedro;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;San Gines 2128;SAN FERNANDO;San Fernando;Buenos Aires;;;;;;;;;;;;;;;;
2292;Jardín De Infantes Cardenal Stepinac;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avenida Pedro Diaz 2000;HURLINGHAM;Hurlingham;Buenos Aires;;;;;;;;;;;;;;;;
2293;Jardín De Infantes El Pato Renato;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Belgrano 1353;MORON;Morón;Buenos Aires;;;;;;;;;;;;;;;;
2294;Jardín De Infantes San Eduardo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zufriategui 1299;VICENTE LOPEZ;Vicente López;Buenos Aires;;;;;;;;;;;;;;;;
2295;Jardín De Infantes Nº942;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Agustín Magaldi 3902;LOMAS DE ZAMORA;Lomas de Zamora;Buenos Aires;;;;;;;;;;;;;;;;
2296;Jardín De Infantes Nº945;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Manucia Pedraza Y Victor Rodriguez 3100 Barrio 2 De Abril;LOMAS DE ZAMORA;Lomas de Zamora;Buenos Aires;;;;;;;;;;;;;;;;
2297;Jardín De Infantes Nº932 Rene Favaloro;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Pizarro Y Avda. San Martín 730;MERLO;Merlo;Buenos Aires;;;;;;;;;;;;;;;;
2298;Jardín De Infantes Nº927 Juana Manso;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Quirno Costa 3383;SAN FERNANDO;San Fernando;Buenos Aires;;;;;;;;;;;;;;;;
2299;Jardín De Infantes Nº925 Acuerdo De San Nicolas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;España 979;SAN NICOLAS DE LOS ARROYOS;San Nicolás;Buenos Aires;;;;;;;;;;;;;;;;
2300;Jardín De Infantes Nº909 El Hornerito;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Juan Carranza 30;TRES PICOS;Tornquist;Buenos Aires;;;;;;;;;;;;;;;;
2301;Jardín De Infantes San Benito;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Acceso Sur Y 112 Bis 3099;MERCEDES;Mercedes;Buenos Aires;;;;;;;;;;;;;;;;
2302;Jardín De Infantes Nº932 Lydia Penchansky De Bosch;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Viamonte 1355 Barrio San Martin;FLORENCIO VARELA;Florencio Varela;Buenos Aires;;;;;;;;;;;;;;;;
2303;Jardín De Infantes Instituto Rios De Vida;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Marmol 500;QUILMES;Quilmes;Buenos Aires;;;;;;;;;;;;;;;;
2304;Jardín Municipal Nº06 Arroz Con Leche;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Charruas 1280;HURLINGHAM;Hurlingham;Buenos Aires;;;;;;;;;;;;;;;;
2305;Jardín De Infantes Brillo De Sol;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Don Bosco 1736;SAN ISIDRO;San Isidro;Buenos Aires;;;;;;;;;;;;;;;;
2306;Instituto José De San Martin;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Angel D'Elia 1576;SAN MIGUEL;San Miguel;Buenos Aires;;;;;;;;;;;;;;;;
2307;Jardín De Infantes Nº934 Suboficial Felix Oscar Artuso;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Falucho 10298 Barrio S. Rosa De Lima;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2308;Jardín De Infantes Nº933 Jorge Newbery;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Falucho 9533;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2309;Instituto José Antonio Balseiro;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Palacios 3186;MORON;Morón;Buenos Aires;;;;;;;;;;;;;;;;
2310;Colegio San Justino;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Av. Calchaqui Y Calle 4 A 474;BERAZATEGUI;Berazategui;Buenos Aires;;;;;;;;;;;;;;;;
2311;Jardín De Infantes Nº917 Sirilo Peralta;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Haiti Y Nicaragua 1202 Barrio Agustoni;PILAR;Pilar;Buenos Aires;;;;;;;;;;;;;;;;
2312;Jardín De Infantes Nº931 Crucero Ara General Belgrano;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Junin 2290;SAN FERNANDO;San Fernando;Buenos Aires;;;;;;;;;;;;;;;;
2313;Jardín Del Sol;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;47 1018;COLON;Colón;Buenos Aires;;;;;;;;;;;;;;;;
2314;Jardín De Infantes Rural Nº8;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Pje La Protectora La Protectora;SAN CARLOS DE BOLIVAR;Bolívar;Buenos Aires;;;;;;;;;;;;;;;;
2315;Jardín De Infantes Rural Nº2 José Rondeau;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Cuartel V De La Llave;RANCHOS;General Paz;Buenos Aires;;;;;;;;;;;;;;;;
2316;Jardín De Infantes Maria Madre De Dios;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;3 De Febrero 1949;SAN FERNANDO;San Fernando;Buenos Aires;;;;;;;;;;;;;;;;
2317;Jardín De Infantes Creciendo Juntos;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ituzaingo 1755;ZARATE;Zárate;Buenos Aires;;;;;;;;;;;;;;;;
2318;Instituto Avellaneda;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;San Martín 1347;AVELLANEDA;Avellaneda;Buenos Aires;;;;;;;;;;;;;;;;
2319;Jardín De Infantes Campanitas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;133 E/ 44 Y 45 531;LA PLATA;La Plata;Buenos Aires;;;;;;;;;;;;;;;;
2320;Jardín De Infantes Rural Nº1;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Jujuy E/ Rivadavia Y Paso;ESTACION ARENALES;General Arenales;Buenos Aires;;;;;;;;;;;;;;;;
2321;Mi Tallercito;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Magallanes 3878;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2322;Jardín De Infantes Nº914 Golondrinas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;122 Bis Esq. 11 Villa Progreso;BERISSO;Berisso;Buenos Aires;;;;;;;;;;;;;;;;
2323;Jardín De Infantes Nº935 Alfonsina Storni;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;San Luis Y 9 De Julio 1415;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2324;Jardín De Infantes Nº975;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Diagonal 620 88 Villa Elvira;LA PLATA;La Plata;Buenos Aires;;;;;;;;;;;;;;;;
2325;Jardín De Infantes Nº938 Peralta Ramos;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Jacinto Peralta Ramos 963;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2326;Jardín De Infantes Nº908 José Muller;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural Bella Vista;PEDRO LURO;Villarino;Buenos Aires;;;;;;;;;;;;;;;;
2327;Jardín De Infantes Nº917 Almafuerte;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Bagnat 3588;ITUZAINGO;Ituzaingó;Buenos Aires;;;;;;;;;;;;;;;;
2328;Jardín De Infantes Rural Nº6;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Paraje La Parda La Parada;OLAVARRIA;Olavarría;Buenos Aires;;;;;;;;;;;;;;;;
2329;Jardín De Infantes Rural Nº3;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Cuartel Ii El Tropezon;MARCOS PAZ;Marcos Paz;Buenos Aires;;;;;;;;;;;;;;;;
2330;Jardín De Infantes Santa Maria;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Champagnat 1415 La Lomita;PILAR;Pilar;Buenos Aires;;;;;;;;;;;;;;;;
2331;Jardín De Infantes Nº907 Manuel Lucio Alcuaz;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural Macedo;GENERAL JUAN MADARIAGA;General Juan Madariaga;Buenos Aires;;;;;;;;;;;;;;;;
2332;Jardín De Infantes Nº939 Maria Elena Walsh;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Camusso 697;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2333;Jardín De Infantes Nº944 Maria Eva Duarte;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Dalton 739 Barrio Arco Iris;MERLO;Merlo;Buenos Aires;;;;;;;;;;;;;;;;
2334;Jardín De Infantes Nº903 Autonomia De Ameghino;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;22 Y 9;FLORENTINO AMEGHINO;Florentino Ameghino;Buenos Aires;;;;;;;;;;;;;;;;
2335;Jardín De Infantes 2 De Abril;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Aristobulo Del Valle 1734;MERLO;Merlo;Buenos Aires;;;;;;;;;;;;;;;;
2336;Jardín De Infantes Rural Nº4;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural Pehuelche;TRES LOMAS;Tres Lomas;Buenos Aires;;;;;;;;;;;;;;;;
2337;Jardín De Infantes Nº908 Maria Eva Duarte;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Virrey Del Pino 1075 Barrio El Hospital;SAN VICENTE;San Vicente;Buenos Aires;;;;;;;;;;;;;;;;
2338;Jardín De Infantes Nº910 Maria Luz Mujica;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Falucho Y 25 De Mayo;LOS TOLDOS;General Viamonte;Buenos Aires;;;;;;;;;;;;;;;;
2339;Jardín De Infantes Nº915 Jaime Bernardo Coll;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Av. Ing. Jaime B. Coll Y Rauch 895;BRAGADO;Bragado;Buenos Aires;;;;;;;;;;;;;;;;
2340;Jardín De Infantes Nº943 Manuel Belgrano;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;238 Y 39;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2341;Jardín De Infantes Nº908 Preceptor Manuel Cruz;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Panama Y Peru Barrio San Jose;PARADA ORLANDO;Exaltación de la Cruz;Buenos Aires;;;;;;;;;;;;;;;;
2342;Jardín De Infantes Nº911 Dr. Rene Gerónimo Favaloro;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Lamadrid Y Neuquen;CARLOS CASARES;Carlos Casares;Buenos Aires;;;;;;;;;;;;;;;;
2343;Jardín De Infantes Nº908 Maria Angelicanenina Dusso;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;H.Hirigoyen Y Malvinas Argentinas;VILLA RAMALLO;Ramallo;Buenos Aires;;;;;;;;;;;;;;;;
2344;Jardín Municipal Nº22;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Genova 5265;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2345;Jardín De Infantes Nº909 Cumelen;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Moreno Y Laprida;CARHUE;Adolfo Alsina;Buenos Aires;;;;;;;;;;;;;;;;
2346;Jardín De Infantes Ayelen;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Tripulantes Del Fournier 6451 El Progreso;MAR DEL PLATA;General Pueyrredón;Buenos Aires;;;;;;;;;;;;;;;;
2347;Colegio San Mateo Norte;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Caamaño Y Paresa 493;PILAR;Pilar;Buenos Aires;;;;;;;;;;;;;;;;
2348;Jardín De Infantes Santa Trinidad;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Gral. Paz 782;SAN ISIDRO;San Isidro;Buenos Aires;;;;;;;;;;;;;;;;
2349;Jardín De Infantes Nº920 Rincon De Rio Lujan;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Sivori E/Pettoruti Y Quinquela Martín 2016 Rio Lujan;RIO LUJAN;Campana;Buenos Aires;;;;;;;;;;;;;;;;
2350;Colegio Redemptoris Missio;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;16 982;LA PLATA;La Plata;Buenos Aires;;;;;;;;;;;;;;;;
