codprov_censo;name_prov;pob_total_prov;pob_total_prov40;total_grupo_prov_Infancias1;total_grupo_prov_Infancias2;total_grupo_prov_infancias;total_grupo_prov_Centrales;total_grupo_prov_PM;prop_grupo_prov22_infancias;prop_grupo_prov22_Centrales;prop_grupo_prov22_PAM;total_grupo_prov40_Infancias1;total_grupo_prov40_Infancias2;total_grupo_prov40_Infancias;total_grupo_prov40_Centrales;total_grupo_prov40_PAM;prop_grupo_prov40_Infancias;prop_grupo_prov40_Centrales;prop_grupo_prov40_PAM;Demanda Infancias 2022;Demanda Infancias 2040;Demanda PAM 2022;Demanda PAM 2040;;;;;;;;;
42;LA PAMPA;361849;404977;11419;9860;21.279;277197;63.373;5,88%;76,61%;17,51%;10.822;9.345;20.167;296.726;88.084;4,98%;73,27%;21,75%;17.785;16.855;6.020;8.368;;;;;;;;;
46;LA RIOJA;383851;459305;13071;10590;23.661;310153;50.037;6,16%;80,80%;13,04%;12.388;10.037;22.424;352.535;84.345;4,88%;76,75%;18,36%;19.661;18.634;4.754;8.013;;;;;;;;;
50;MENDOZA;2043207;2350495;71074;59975;131.049;1571483;340.877;6,41%;76,91%;16,68%;67.557;57.007;124.564;1.742.844;483.893;5,30%;74,15%;20,58%;109.300;103.891;32.383;45.970;;;;;;;;;
54;MISIONES;1278799;1481637;57176;45247;102.423;1021039;155.337;8,01%;79,84%;12,15%;51.549;40.794;92.344;1.136.091;253.202;6,23%;76,68%;17,09%;84.927;76.569;14.757;24.054;;;;;;;;;
58;NEUQUEN;710801;843502;23113;20082;43.195;572043;95.563;6,08%;80,48%;13,44%;22.476;19.528;42.004;633.715;167.782;4,98%;75,13%;19,89%;36.122;35.126;9.078;15.939;;;;;;;;;
62;RIO NEGRO;750694;897694;24670;20479;45.149;589891;115.654;6,01%;78,58%;15,41%;24.353;20.216;44.569;667.224;185.902;4,96%;74,33%;20,71%;37.600;37.117;10.987;17.661;;;;;;;;;
66;SALTA;1441097;1722397;57807;46833;104.640;1152881;183.576;7,26%;80,00%;12,74%;53.858;43.634;97.492;1.321.257;303.648;5,66%;76,71%;17,63%;86.951;81.011;17.440;28.847;;;;;;;;;
70;SAN JUAN;822802;955928;33137;26458;59.595;642148;121.059;7,24%;78,04%;14,71%;31.735;25.339;57.074;716.854;182.000;5,97%;74,99%;19,04%;49.455;47.363;11.501;17.290;;;;;;;;;
74;SAN LUIS;542065;643053;18826;14921;33.747;428266;80.052;6,23%;79,01%;14,77%;18.360;14.551;32.911;484.284;125.859;5,12%;75,31%;19,57%;27.986;27.293;7.605;11.957;;;;;;;;;
78;SANTA CRUZ;337139;486773;11790;10285;22.075;277839;37.225;6,55%;82,41%;11,04%;13.925;12.147;26.072;380.243;80.458;5,36%;78,12%;16,53%;18.467;21.811;3.536;7.644;;;;;;;;;
82;SANTA FE;3544509;3950097;121357;96618;217.975;2705581;620.953;6,15%;76,33%;17,52%;115.139;91.668;206.807;2.891.121;852.168;5,24%;73,19%;21,57%;180.840;171.575;58.991;80.956;;;;;;;;;
86;SANTIAGO DEL ESTERO;1060851;1220556;44297;36450;80.747;845541;134.563;7,61%;79,70%;12,68%;40.121;33.014;73.135;937.123;210.298;5,99%;76,78%;17,23%;67.192;60.858;12.783;19.978;;;;;;;;;
94;TIERRA DEL FUEGO;185732;264322;6141;5597;11.738;153673;20.321;6,32%;82,74%;10,94%;7.317;6.669;13.986;205.661;44.675;5,29%;77,81%;16,90%;9.859;11.747;1.930;4.244;;;;;;;;;
90;TUCUMAN;1731738;2053725;64780;52439;117.219;1361055;253.464;6,77%;78,59%;14,64%;62.109;50.277;112.385;1.556.228;385.111;5,47%;75,78%;18,75%;97.396;93.380;24.079;36.586;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
